Code,Name,M Under 1,M 1 to 14,M 15 to 44,M 45 to 64,M 65 to 74,75 to 84,M 85 and over,F Under 1,F 1 to 14,F 15 to 44,F 45 to 64,F 65 to 74,F 75 to 84,F 85 and over
E12000001,NORTH EAST,13683,217017,491162,346725,141831,77378,24328,12938,205572,485344,365492,152292,94194,41985
E12000002,NORTH WEST,41709,637634,1377796,935776,365263,204149,63323,39549,605407,1358918,969296,385000,246669,110707
E12000003,YORKSHIRE AND THE HUMBER,30376,475369,1039306,700505,272684,151524,47668,28848,454735,1025512,715539,290788,185511,84602
E12000004,EAST MIDLANDS,25404,407859,890807,629791,253151,140793,44152,24234,389615,878342,645784,266305,164096,75595
E12000005,WEST MIDLANDS,34389,529057,1132844,737355,284022,169752,53872,32374,503225,1106387,753044,302613,202446,92657
E12000006,EAST,35102,550791,1113934,804938,316649,185927,65158,33022,522858,1109800,827121,343538,218618,108616
E12000007,LONDON,60488,834177,2080951,1015103,275325,152218,57555,57352,794584,2002749,1035070,311147,191908,93362
E12000008,SOUTH EAST,49246,804644,1656405,1198855,452669,265807,96313,46579,761842,1645274,1226074,493790,320458,162179
E12000009,SOUTH WEST,27635,450559,980214,734024,321356,188619,64715,25930,428286,959652,765267,347643,220532,110264
N92000002,NORTHERN IRELAND,11673,179606,359095,239226,82893,46723,13501,11048,170715,358584,248996,88379,57990,25238
S92000003,SCOTLAND,26138,417628,1023432,726379,276799,147734,44893,24634,397305,1029654,773985,301501,191024,82194
W92000004,WALES,15733,255887,573530,404038,175200,99203,31087,14797,243728,556943,425847,186228,117351,53307
